答题序号,Q1_假设您参与一个相亲活动，下面的”一“为15位女嘉宾，请按好感度从高到低排序：,Q2_对于最喜欢的”一“，为何喜欢？,Q3_对于最讨厌的”一“，为何讨厌？,开始时间,提交时间,答题时长
33,第1位:I|第10位:D|第11位:K|第12位:C|第13位:F|第14位:E|第15位:N|第2位:H|第3位:A|第4位:B|第5位:G|第6位:J|第7位:L|第8位:O|第9位:M,有力量感，对称,感觉单薄,2022-04-26 15:11:32,2022-04-26 15:14:23,02分51秒
34,第1位:N|第10位:B|第11位:C|第12位:A|第13位:J|第14位:H|第15位:I|第2位:L|第3位:G|第4位:E|第5位:M|第6位:F|第7位:K|第8位:D|第9位:O,"简练,好看",粗犷,2022-04-26 15:12:44,2022-04-26 15:14:33,01分49秒
35,第1位:C|第10位:O|第11位:N|第12位:I|第13位:M|第14位:J|第15位:E|第2位:F|第3位:L|第4位:B|第5位:A|第6位:G|第7位:D|第8位:K|第9位:H,有重有轻，又比较匀称，比较美观,起笔比较重，导致“一”比较粗同时又看起来比较短，不美观。,2022-04-26 14:37:48,2022-04-26 15:20:18,42分30秒
36,第1位:I|第10位:H|第11位:K|第12位:B|第13位:J|第14位:E|第15位:D|第2位:O|第3位:G|第4位:F|第5位:N|第6位:C|第7位:L|第8位:A|第9位:M,身材比较好,太胖了,2022-04-26 15:19:41,2022-04-26 15:22:48,03分07秒
37,第1位:M|第10位:A|第11位:J|第12位:D|第13位:G|第14位:O|第15位:N|第2位:E|第3位:L|第4位:H|第5位:B|第6位:I|第7位:F|第8位:C|第9位:K,好看,丑,2022-04-26 15:28:59,2022-04-26 15:31:13,02分14秒
38,第1位:I|第10位:D|第11位:M|第12位:K|第13位:G|第14位:H|第15位:E|第2位:J|第3位:B|第4位:C|第5位:A|第6位:L|第7位:F|第8位:O|第9位:N,最秀气,太粗大,2022-04-26 15:29:56,2022-04-26 15:31:47,01分51秒
39,第1位:F|第10位:B|第11位:I|第12位:O|第13位:E|第14位:D|第15位:J|第2位:H|第3位:A|第4位:L|第5位:M|第6位:G|第7位:C|第8位:N|第9位:K,端正,关于浓重,2022-04-26 15:30:42,2022-04-26 15:33:21,02分39秒
40,第1位:C|第10位:J|第11位:L|第12位:E|第13位:N|第14位:G|第15位:I|第2位:B|第3位:F|第4位:M|第5位:D|第6位:H|第7位:K|第8位:A|第9位:O,匀称但两侧有有不同，但不会都很大差异,两侧提笔和收笔处夸张,2022-04-26 15:29:45,2022-04-26 15:35:12,05分27秒
41,第1位:C|第10位:A|第11位:D|第12位:I|第13位:B|第14位:N|第15位:K|第2位:L|第3位:H|第4位:G|第5位:F|第6位:O|第7位:E|第8位:M|第9位:J,匀称，不胖不瘦，看起来健康,因为看起来像个男人,2022-04-26 15:32:40,2022-04-26 15:35:34,02分54秒
42,第1位:H|第10位:B|第11位:J|第12位:L|第13位:E|第14位:N|第15位:G|第2位:A|第3位:F|第4位:K|第5位:I|第6位:O|第7位:M|第8位:C|第9位:D,协调、端庄,过于纤细，收尾放荡,2022-04-26 15:35:20,2022-04-26 15:38:34,03分14秒
43,第1位:N|第10位:L|第11位:I|第12位:O|第13位:C|第14位:K|第15位:B|第2位:A|第3位:G|第4位:H|第5位:F|第6位:E|第7位:D|第8位:J|第9位:M,粗细变化大,太像一了,2022-04-26 15:36:21,2022-04-26 15:38:38,02分17秒
44,第1位:L|第10位:O|第11位:D|第12位:J|第13位:K|第14位:I|第15位:E|第2位:F|第3位:H|第4位:G|第5位:B|第6位:C|第7位:A|第8位:N|第9位:M,有力度，有棱角笔锋,太粗太厚,2022-04-26 15:36:55,2022-04-26 15:39:49,02分54秒
45,第1位:O|第10位:N|第11位:F|第12位:B|第13位:J|第14位:G|第15位:K|第2位:M|第3位:C|第4位:H|第5位:D|第6位:A|第7位:E|第8位:L|第9位:I,飘逸,平静,2022-04-26 15:32:20,2022-04-26 15:57:23,25分03秒
46,第1位:F|第10位:G|第11位:E|第12位:M|第13位:D|第14位:J|第15位:I|第2位:C|第3位:B|第4位:A|第5位:L|第6位:H|第7位:N|第8位:O|第9位:K,温婉细腻,起笔收笔都有弯钩，一本应直坦,2022-04-26 15:36:47,2022-04-26 16:04:34,27分47秒
47,第1位:K|第10位:E|第11位:G|第12位:L|第13位:D|第14位:J|第15位:N|第2位:H|第3位:F|第4位:M|第5位:A|第6位:B|第7位:I|第8位:O|第9位:C,饱满圆润,粗细不一，有点怪异,2022-04-26 16:02:18,2022-04-26 16:06:19,04分01秒
48,第1位:M|第10位:K|第11位:B|第12位:G|第13位:I|第14位:O|第15位:N|第2位:F|第3位:E|第4位:L|第5位:C|第6位:A|第7位:H|第8位:J|第9位:D,笔画钢挺有力，非常迅速而匀称，下笔干脆,最后的笔墨不足，显现不出书法笔画的劲道,2022-04-26 15:58:53,2022-04-26 16:15:23,16分30秒
49,第1位:H|第10位:N|第11位:M|第12位:D|第13位:J|第14位:G|第15位:E|第2位:I|第3位:K|第4位:F|第5位:A|第6位:B|第7位:O|第8位:L|第9位:C,凹凸有致,头重脚轻,2022-04-26 16:25:15,2022-04-26 16:29:15,04分00秒
50,第1位:H|第10位:O|第11位:L|第12位:E|第13位:N|第14位:F|第15位:I|第2位:K|第3位:D|第4位:B|第5位:A|第6位:M|第7位:C|第8位:J|第9位:G,整体有力干脆,感觉有多余的勾画,2022-04-26 16:52:27,2022-04-26 16:55:08,02分41秒
51,第1位:H|第10位:C|第11位:D|第12位:B|第13位:O|第14位:G|第15位:N|第2位:K|第3位:F|第4位:I|第5位:E|第6位:J|第7位:L|第8位:M|第9位:A,刚正有力,略显奇怪,2022-04-26 17:21:32,2022-04-26 17:23:35,02分03秒
52,第1位:N|第10位:C|第11位:F|第12位:M|第13位:D|第14位:E|第15位:J|第2位:O|第3位:G|第4位:A|第5位:L|第6位:I|第7位:B|第8位:H|第9位:K,清晰，锋利,粗糙,2022-04-26 18:57:29,2022-04-26 19:01:08,03分39秒
53,第1位:F|第10位:L|第11位:E|第12位:K|第13位:N|第14位:B|第15位:G|第2位:M|第3位:A|第4位:I|第5位:O|第6位:H|第7位:C|第8位:J|第9位:D,字体均匀平滑,字体细软无力,2022-04-26 20:21:11,2022-04-26 20:25:55,04分44秒
54,第1位:H|第10位:N|第11位:E|第12位:C|第13位:G|第14位:D|第15位:O|第2位:A|第3位:B|第4位:J|第5位:F|第6位:K|第7位:M|第8位:L|第9位:I,就是一种feeling，you know,还是那样，feeling~,2022-04-26 21:28:24,2022-04-26 21:33:04,04分40秒
55,第1位:I|第10位:G|第11位:D|第12位:O|第13位:M|第14位:J|第15位:N|第2位:A|第3位:B|第4位:E|第5位:C|第6位:L|第7位:H|第8位:K|第9位:F,对称且富有特色,感觉少了一部分,2022-04-26 21:56:26,2022-04-26 21:58:16,01分50秒
56,第1位:F|第10位:K|第11位:J|第12位:D|第13位:G|第14位:I|第15位:N|第2位:H|第3位:C|第4位:O|第5位:A|第6位:M|第7位:E|第8位:B|第9位:L,朴素圆浑，刚正有力,过于不匀称，左重而右轻,2022-04-26 22:18:27,2022-04-26 22:23:38,05分11秒
57,第1位:H|第10位:E|第11位:I|第12位:N|第13位:J|第14位:O|第15位:D|第2位:M|第3位:F|第4位:K|第5位:B|第6位:L|第7位:C|第8位:G|第9位:A,匀称、有曲线美,丑,2022-04-26 23:06:52,2022-04-26 23:12:49,05分57秒
58,第1位:J|第10位:I|第11位:A|第12位:L|第13位:O|第14位:G|第15位:B|第2位:C|第3位:M|第4位:N|第5位:K|第6位:D|第7位:F|第8位:E|第9位:H,潦草我个人比较喜欢草书的写法。,无·,2022-04-27 11:54:59,2022-04-27 11:59:07,04分08秒
59,第1位:I|第10位:E|第11位:N|第12位:F|第13位:M|第14位:J|第15位:D|第2位:L|第3位:C|第4位:A|第5位:K|第6位:O|第7位:H|第8位:B|第9位:G,转折委婉,缺少变化,2022-04-28 08:17:11,2022-04-28 08:19:00,01分49秒
60,第1位:H|第10位:C|第11位:L|第12位:N|第13位:K|第14位:O|第15位:F|第2位:B|第3位:G|第4位:E|第5位:A|第6位:M|第7位:J|第8位:D|第9位:I,工整,死板,2022-04-28 09:31:28,2022-04-28 09:32:54,01分26秒
61,第1位:N|第10位:D|第11位:J|第12位:C|第13位:M|第14位:E|第15位:I|第2位:G|第3位:O|第4位:B|第5位:F|第6位:A|第7位:K|第8位:H|第9位:L,比较端正 秀气 还带一些洒脱,看起来太做作了  左右两端的挑钩,2022-04-28 15:26:31,2022-05-01 23:17:24,4790分53秒
62,第1位:O|第10位:K|第11位:I|第12位:E|第13位:M|第14位:D|第15位:J|第2位:G|第3位:H|第4位:B|第5位:L|第6位:N|第7位:C|第8位:F|第9位:A,笔墨扎实稳重，干净利落,笔墨厚重不均，粗重没灵性,2022-05-04 14:02:43,2022-05-04 14:05:25,02分42秒
